source_id,sample_id,profile,trace_type,entity_type,entity_level,definition_key,n_valid,min,max,mean,p50,singleton
agentx_256k,AX-7,semantic_trace,production_derived,run,run,subagent_count,1,0,0,0.0,0,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,model_request_count,1,7,7,7.0,7,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_input_tokens,1,194368,194368,194368.0,194368,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_output_tokens,1,4097,4097,4097.0,4097,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,max_input_context,1,46528,46528,46528.0,46528,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_api_latency_ns,1,50406000000,50406000000,50406000000.0,50406000000,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,observed_span,2,48950000000,385681000000,217315500000.0,217315500000.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,run,model_overlap,1,1456000000,1456000000,1456000000.0,1456000000,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,model_request_count,1,7,7,7.0,7,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_input_tokens,1,194368,194368,194368.0,194368,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_output_tokens,1,4097,4097,4097.0,4097,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,max_input_context,1,46528,46528,46528.0,46528,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,total_api_latency_ns,1,50406000000,50406000000,50406000000.0,50406000000,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,observed_span,2,48950000000,385681000000,217315500000.0,217315500000.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,run,model_overlap,1,1456000000,1456000000,1456000000.0,1456000000,yes
agentx_256k,AX-7,semantic_trace,production_derived,run,run,turn_count,0,,,,,no
agentx_256k,AX-7,semantic_trace,production_derived,run,run,tool_call_count,0,,,,,no
agentx_256k,AX-7,semantic_trace,production_derived,run,run,run_elapsed,0,,,,,no
agentx_256k,AX-7,semantic_trace,production_derived,run,run,local_cpu_time,0,,,,,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,subagent_count,1,1,1,1.0,1,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,model_request_count,1,2,2,2.0,2,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_input_tokens,1,50624,50624,50624.0,50624,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_output_tokens,1,1200,1200,1200.0,1200,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,max_input_context,1,50304,50304,50304.0,50304,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_api_latency_ns,1,6743000000,6743000000,6743000000.0,6743000000,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,observed_span,2,5911000000,5911000000,5911000000.0,5911000000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,model_overlap,1,832000000,832000000,832000000.0,832000000,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,model_request_count,1,21,21,21.0,21,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_input_tokens,1,818752,818752,818752.0,818752,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_output_tokens,1,3949,3949,3949.0,3949,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,max_input_context,1,54784,54784,54784.0,54784,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,total_api_latency_ns,1,41836000000,41836000000,41836000000.0,41836000000,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,observed_span,2,41004000000,70593000000,55798500000.0,55798500000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,model_overlap,1,832000000,832000000,832000000.0,832000000,yes
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,turn_count,0,,,,,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,tool_call_count,0,,,,,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,run_elapsed,0,,,,,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,run,local_cpu_time,0,,,,,no
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,model_request_count,1,3,3,3.0,3,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,total_input_tokens,1,32499,32499,32499.0,32499,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,max_input_context,1,13644,13644,13644.0,13644,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,total_output_tokens,1,1986,1986,1986.0,1986,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,completion_context,1,6318,6318,6318.0,6318,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,completion_context,1,12537,12537,12537.0,12537,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,completion_context,1,13644,13644,13644.0,13644,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,simulated_tool_delay,1,0.431,0.431,0.431,0.431,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,simulated_tool_delay,1,2.339,2.339,2.339,2.339,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,total_simulated_delay,1,2.77,2.77,2.77,2.77,yes
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,run_elapsed,0,,,,,no
applied_agentic_coding,AC-N2,macro_template,production_derived,template,template,local_cpu_time,0,,,,,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,manifest_reported_wall_time_s,1,1616.424,1616.424,1616.424,1616.424,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,model_request_count,1,70,70,70.0,70,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,total_input_tokens,1,4041546,4041546,4041546.0,4041546,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,total_output_tokens,1,28631,28631,28631.0,28631,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,max_input_context,1,79937,79937,79937.0,79937,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,max_source_context_tokens,1,80378,80378,80378.0,80378,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,total_api_latency_s,1,401.42146900000006,401.42146900000006,401.42146900000006,401.42146900000006,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,tool_call_count,1,88,88,88.0,88,yes
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,run_elapsed,0,,,,,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,local_cpu_time,0,,,,,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,run,tool_cpu_time,0,,,,,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,request_presence,7,1,1,1.0,1.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,total_input_tokens,7,448,46528,27766.85714285714,41984.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,total_output_tokens,7,21,1179,585.2857142857143,600.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,api_latency,7,1515000000,17590000000,7200857142.857142,3901000000.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_ttft,7,1198000000,6708000000,2627000000.0,1408000000.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_think_time,6,0,180652000000,53752666666.666664,57000000.0,no
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_start,7,0,373459000000,137991142857.14285,21474000000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,request_presence,21,1,1,1.0,1.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,total_input_tokens,21,320,54784,38988.19047619047,39232.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,total_output_tokens,21,17,1183,188.04761904761904,142.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,api_latency,21,852000000,5891000000,1992190476.1904762,1740000000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_ttft,2,685000000,912000000,798500000.0,798500000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_think_time,20,0,4010000000,1479450000.0,914000000.0,no
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,source_start,21,0,69146000000,34716047619.04762,36957000000.0,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,total_input_tokens,70,20797,79937,57736.37142857143,60798.5,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,total_output_tokens,70,72,1952,409.01428571428573,128.5,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,source_context_tokens,70,21225,80378,58145.385714285716,61121.5,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,cached_input_tokens,70,0,78080,55124.114285714284,57984.0,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,reasoning_output_tokens,70,0,1484,90.08571428571429,17.5,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,ttft,70,1.401724,4.699919,2.874737885714286,3.1607455,no
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,api_latency,70,2.190598,18.965449,5.734592414285715,4.33389,no
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,total_input_tokens,0,,,,,no
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,total_output_tokens,0,,,,,no
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,ttft,1,3.716896,3.716896,3.716896,3.716896,no
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,api_latency,1,5.253902,5.253902,5.253902,5.253902,no
