source_id,sample_id,profile,trace_type,entity_type,entity_level,aggregation,definition_key,n_total,n_applicable,n_not_applicable,n_present,n_valid,n_missing,n_excluded,coverage_ratio,missing_reasons,exclusion_reasons,not_applicable_reason
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,subagent_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,union_busy_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,main_agent,observed_span,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,union_busy_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,all_agents,observed_span,1,1,0,1,1,0,0,1.0,{},{},
